Date,Open,High,Low,Close,Adj Close,Volume
2015-11-18,463.799988,465.649994,454.975006,456.000000,436.671021,5142766
2015-11-19,459.450012,469.350006,458.625000,467.375000,447.563873,5569752
2015-11-20,467.000000,476.399994,462.774994,473.424988,453.357422,5167930
2015-11-23,475.000000,478.950012,473.100006,476.875000,456.661224,4800026
2015-11-24,476.500000,485.799988,475.524994,483.850006,463.340515,6768886
2015-11-26,485.500000,495.975006,484.125000,494.325012,473.371552,10883224
2015-11-27,494.500000,496.250000,487.049988,489.524994,468.774963,4979394
2015-11-30,489.250000,492.200012,481.149994,483.549988,463.053223,13678054
2015-12-01,482.000000,489.399994,480.625000,482.950012,462.478699,5934650
2015-12-02,483.125000,489.850006,482.250000,488.975006,468.248291,3462408
2015-12-03,487.450012,494.475006,487.049988,488.600006,467.889160,5194048
2015-12-04,486.149994,488.100006,480.700012,482.725006,462.263214,6146002
2015-12-07,482.725006,486.500000,474.875000,476.024994,455.847229,6621556
2015-12-08,474.450012,476.799988,468.049988,470.450012,450.508545,3443452
2015-12-09,468.100006,471.725006,456.424988,457.950012,438.538361,4194236
2015-12-10,461.250000,476.899994,460.000000,475.174988,455.033234,8499730
2015-12-11,475.875000,479.500000,471.450012,476.475006,456.278137,8300090
2015-12-14,473.799988,481.750000,473.000000,477.549988,457.307526,4829460
2015-12-15,478.500000,488.975006,476.825012,487.950012,467.266724,7186122
2015-12-16,487.950012,493.774994,486.750000,489.325012,468.583435,5530496
2015-12-17,490.024994,507.500000,489.000000,504.850006,483.450378,8854870
2015-12-18,501.899994,504.500000,495.000000,495.950012,474.927643,7322040
2015-12-21,493.950012,499.500000,492.174988,496.049988,475.023376,5637670
2015-12-22,496.399994,501.299988,492.000000,493.649994,472.725128,5293656
2015-12-23,495.899994,503.450012,495.000000,501.899994,480.625427,5906346
2015-12-24,501.950012,503.600006,498.149994,500.274994,479.069305,5441138
2015-12-28,500.299988,506.875000,500.000000,505.200012,483.785553,5891016
2015-12-29,505.200012,509.350006,503.575012,507.700012,486.179596,6818120
2015-12-30,507.500000,508.000000,501.000000,502.250000,480.960602,3726642
2015-12-31,501.700012,509.850006,499.549988,507.299988,485.796509,8450132
2016-01-01,504.899994,509.450012,504.100006,507.674988,486.155640,2476270
2016-01-04,502.500000,506.899994,493.350006,497.649994,476.555573,13793142
2016-01-05,500.149994,505.000000,498.500000,502.575012,481.271790,6832918
2016-01-06,503.799988,519.200012,500.200012,516.099976,494.223511,12233710
2016-01-07,510.524994,514.000000,504.024994,506.625000,485.150116,9024438
2016-01-08,510.000000,516.450012,508.350006,512.875000,491.135223,9743678
2016-01-11,507.975006,530.400024,505.500000,525.799988,503.512329,13265342
2016-01-12,527.500000,532.700012,520.549988,522.724976,500.567719,10685522
2016-01-13,526.549988,544.875000,523.599976,538.424988,515.602234,32825622
